timestamps,,,,,Marker
1488767248.694,-480.242,-259.538,-11342.056,-6124.648,0
1488767248.696,-391.377,-303.953,-11277.466,-5956.250,0
1488767248.696,-244.704,-340.701,-10966.420,-5129.327,0
1488767248.710,-384.763,-289.264,-11778.506,-6070.648,0
1488767248.710,-457.683,-261.782,-12186.013,-6963.901,0
1488767248.724,-258.678,-341.958,-11963.016,-6296.761,0
1488767248.724,-317.192,-315.720,-12899.060,-6987.004,0
1488767248.726,-496.715,-237.285,-13438.413,-7465.700,0
1488767248.726,-293.203,-312.480,-12681.019,-6906.677,0
1488767248.740,-256.329,-320.102,-12520.852,-6293.462,0
1488767248.740,-488.816,-265.598,-13323.864,-7130.149,0
1488767248.754,-355.726,-269.731,-13194.971,-6898.984,0
1488767248.754,-210.332,-302.448,-12899.404,-6078.459,0
1488767248.756,-398.352,-286.256,-13770.995,-6091.975,0
1488767248.756,-457.958,-257.640,-14132.812,-6969.030,0
1488767248.770,-235.948,-320.695,-13900.518,-6280.168,0
1488767248.770,-311.292,-304.839,-14861.376,-6981.845,0
1488767248.784,-504.675,-242.777,-15393.986,-7470.321,0
1488767248.784,-293.590,-307.388,-14629.646,-6893.611,0
1488767248.787,-240.750,-312.553,-14462.041,-6275.849,0
1488767248.788,-457.788,-237.360,-15245.856,-7095.889,0
1488767248.800,-370.538,-284.322,-15155.697,-6905.478,0
1488767248.800,-231.270,-318.011,-14870.568,-6085.937,0
1488767248.814,-375.114,-268.287,-15699.708,-7047.970,0
1488767248.814,-435.420,-229.450,-16057.968,-7913.604,0
1488767248.816,-270.406,-343.861,-15893.011,-7289.173,0
1488767248.816,-316.773,-319.703,-16832.467,-7973.414,0
1488767248.830,-472.873,-224.641,-17309.352,-8414.235,0
1488767248.830,-286.508,-307.001,-16590.291,-7868.553,0
1488767248.844,-288.842,-349.378,-16486.559,-7307.472,0
1488767248.844,-461.412,-238.050,-17213.379,-8073.853,0
1488767248.846,-353.529,-270.255,-17090.652,-7852.370,0
1488767248.846,-221.082,-314.479,-16845.861,-7076.777,0
1488767248.860,-406.858,-288.081,-17711.021,-7092.952,0
1488767248.860,-477.763,-273.669,-18031.990,-7938.756,0
1488767248.874,-252.600,-330.602,-17831.770,-7267.095,0
1488767248.874,-289.764,-285.661,-18777.152,-7953.520,0
1488767248.876,-491.154,-233.858,-19267.617,-8419.563,0
1488767248.876,-305.645,-331.761,-18545.883,-7876.887,0
1488767248.890,-249.481,-312.270,-18409.639,-7269.873,0
1488767248.890,-477.544,-254.738,-19186.672,-8087.131,0
1488767248.904,-365.689,-285.693,-19032.137,-7838.347,0
1488767248.904,-220.583,-319.726,-18796.363,-7064.493,0
1488767248.919,-377.599,-270.649,-19659.129,-7077.437,0
1488767248.919,-441.293,-247.112,-19947.322,-7902.668,0
1488767248.934,-265.782,-337.662,-19791.785,-7262.676,0
1488767248.934,-316.910,-308.186,-19804.168,-7986.530,0
1488767248.934,-497.057,-249.008,-20259.998,-8427.501,0
1488767248.934,-294.970,-320.549,-19513.625,-7861.836,0
1488767248.937,-252.449,-320.814,-19409.697,-7293.328,0
1488767248.937,-461.345,-245.536,-20181.332,-8110.859,0
1488767248.950,-378.504,-291.379,-20020.152,-7861.323,0
1488767248.950,-249.371,-332.152,-19805.199,-7092.099,0
1488767248.964,-386.221,-273.878,-20674.094,-7104.149,0
1488767248.964,-469.894,-264.523,-20952.156,-7922.383,0
1488767248.966,-272.250,-349.789,-20782.188,-7272.865,0
1488767248.966,-304.858,-307.179,-20785.990,-7981.542,0
1488767248.980,-472.028,-218.657,-21225.594,-8409.364,0
1488767248.980,-325.942,-341.453,-20485.477,-7851.736,0
1488767248.994,-279.872,-345.238,-20409.199,-7297.197,0
1488767248.994,-435.309,-212.335,-21176.211,-8111.179,0
1488767248.996,-305.511,-219.541,-20937.256,-7802.508,0
1488767248.996,-227.390,-299.100,-20792.914,-7100.908,0
1488767249.010,-368.025,-239.425,-21686.268,-7134.130,0
1488767249.010,-395.962,-192.143,-21886.613,-7886.710,0
1488767249.024,-238.630,-293.741,-21772.350,-7279.629,0
1488767249.024,-265.823,-251.224,-21773.857,-7978.624,0
1488767249.026,-439.500,-183.590,-22195.049,-8408.667,0
1488767249.026,-283.914,-295.667,-21479.668,-7871.515,0
1488767249.040,-254.502,-308.214,-21411.465,-7315.801,0
1488767249.040,-468.623,-243.049,-22177.062,-8143.983,0
1488767249.054,-359.947,-267.807,-21952.301,-7841.375,0
1488767249.054,-258.231,-331.348,-21788.391,-7107.365,0
1488767249.056,-412.883,-290.207,-22688.828,-7144.805,0
1488767249.056,-460.817,-255.835,-22872.924,-7906.462,0
1488767249.070,-254.496,-324.085,-22718.781,-7247.198,0
1488767249.070,-323.580,-309.265,-22793.678,-8012.659,0
1488767249.084,-486.894,-219.674,-23177.791,-8416.990,0
1488767249.084,-307.975,-314.567,-22434.586,-7849.107,0
1488767249.086,-243.692,-309.546,-22364.859,-7284.182,0
1488767249.086,-454.372,-229.073,-23124.637,-8100.539,0
1488767249.100,-371.479,-281.117,-22908.078,-7820.602,0
1488767249.100,-265.866,-344.041,-22774.230,-7108.265,0
1488767249.114,-387.947,-270.849,-23646.004,-7118.909,0
1488767249.114,-415.106,-224.615,-23784.430,-7843.035,0
1488767249.116,-268.474,-344.538,-23725.625,-7268.360,0
1488767249.116,-300.484,-297.152,-23769.322,-8004.560,0
1488767249.130,-494.256,-240.790,-24152.176,-8424.577,0
1488767249.130,-275.683,-308.504,-23377.199,-7806.998,0
1488767249.144,-275.919,-335.847,-23394.787,-7319.863,0
1488767249.144,-456.732,-235.088,-24103.951,-8106.012,0
1488767249.146,-400.119,-307.710,-23892.668,-7833.902,0
1488767249.146,-243.258,-329.768,-23736.191,-7089.223,0
1488767249.160,-419.082,-293.735,-24657.381,-7149.342,0
1488767249.160,-444.461,-254.562,-24765.041,-7850.756,0
1488767249.174,-233.746,-310.877,-24674.418,-7242.796,0
1488767249.174,-318.533,-297.793,-24785.152,-8037.162,0
1488767249.176,-495.800,-239.916,-2568.892,-1554.143,0
1488767249.189,-320.259,-324.767,-1868.164,-1005.034,0
1488767249.189,-309.729,-360.614,-1871.923,-503.594,0
1488767249.191,-494.757,-260.809,-2564.713,-1289.205,0
1488767249.191,-351.311,-270.398,-2267.026,-924.275,0
1488767249.205,-214.029,-314.174,-2161.148,-216.527,0
1488767249.205,-429.982,-301.243,-3120.066,-308.330,0
1488767249.219,-490.677,-287.269,-3219.943,-1018.586,0
1488767249.219,-266.520,-336.210,-3132.712,-394.129,0
1488767249.221,-307.622,-299.407,-3199.177,-1149.282,0
1488767249.221,-486.860,-230.875,-3517.585,-1522.730,0
1488767249.235,-274.709,-295.101,-2771.563,-930.149,0
1488767249.235,-243.075,-297.977,-2784.365,-426.248,0
1488767249.249,-499.920,-268.235,-3569.344,-1288.983,0
1488767249.249,-355.457,-276.459,-3235.002,-912.511,0
1488767249.251,-245.943,-326.346,-3161.747,-223.130,0
1488767249.251,-406.243,-285.369,-4080.270,-287.681,0
1488767249.265,-438.619,-236.076,-4121.981,-954.748,0
1488767249.265,-258.874,-329.940,-4076.207,-368.165,0
1488767249.279,-291.557,-281.880,-4186.047,-1144.142,0
1488767249.279,-476.858,-216.018,-4567.050,-1566.986,0
1488767249.281,-316.156,-333.133,-3687.206,-915.786,0
1488767249.281,-266.144,-329.021,-3742.119,-417.984,0
1488767249.295,-470.324,-233.626,-4639.366,-1327.300,0
1488767249.295,-377.651,-291.714,-4183.007,-918.994,0
1488767249.309,-251.839,-327.868,-4060.789,-173.313,0
1488767249.309,-413.410,-277.097,-4192.699,-344.334,0
1488767249.311,-434.728,-236.663,-4164.289,-1004.831,0
1488767249.311,-239.208,-316.835,-3984.629,-312.270,0
1488767249.325,-323.445,-296.668,-4245.023,-1176.816,0
1488767249.325,-508.611,-241.742,-4633.846,-1630.275,0
1488767249.339,-277.645,-303.671,-3673.135,-902.974,0
1488767249.339,-263.566,-325.313,-3772.295,-436.663,0
1488767249.341,-485.540,-244.070,-4695.556,-1378.228,0
1488767249.341,-363.883,-280.216,-4158.471,-908.293,0
1488767249.355,-239.290,-325.109,-4072.609,-185.454,0
1488767249.355,-401.460,-265.408,-4227.313,-365.919,0
1488767249.369,-448.526,-249.964,-4169.553,-1024.609,0
1488767249.369,-244.861,-330.192,-4000.238,-327.699,0
1488767249.371,-340.550,-324.146,-4301.920,-1222.676,0
1488767249.371,-524.033,-258.876,-4650.838,-1651.231,0
1488767249.385,-300.968,-329.339,-3673.167,-910.987,0
1488767249.385,-265.658,-322.710,-3793.618,-450.114,0
1488767249.399,-490.845,-250.166,-4704.149,-1393.694,0
1488767249.399,-346.838,-278.671,-4123.980,-884.576,0
1488767249.401,-240.477,-336.303,-4070.655,-183.990,0
1488767249.401,-405.160,-277.809,-4234.541,-368.606,0
1488767249.415,-468.230,-275.115,-4164.352,-1028.198,0
1488767249.415,-249.945,-339.875,-3986.170,-318.441,0
1488767249.429,-314.799,-300.929,-4281.409,-1198.006,0
1488767249.429,-501.326,-238.759,-4616.085,-1626.524,0
1488767249.431,-259.921,-301.915,-4582.667,-857.161,0
1488767249.431,-250.053,-317.772,-4751.875,-426.184,0
1488767249.445,-466.115,-227.320,-5680.496,-1378.490,0
1488767249.445,-387.340,-313.103,-5108.398,-902.982,0
1488767249.459,-253.464,-343.388,-5076.562,-199.516,0
1488767249.459,-413.827,-275.907,-5249.484,-392.394,0
1488767249.461,-444.495,-251.645,-5092.750,-989.465,0
1488767249.461,-235.832,-324.614,-4933.979,-287.750,0
1488767249.475,-330.620,-311.496,-5305.280,-1224.647,0
1488767249.475,-497.457,-228.255,-5593.813,-1627.292,0
1488767249.489,-293.556,-321.465,-5565.680,-860.401,0
1488767249.489,-269.226,-331.761,-5761.617,-442.357,0
1488767249.491,-485.344,-252.832,-6699.692,-1409.540,0
1488767249.491,-357.796,-292.314,-6032.223,-856.093,0
1488767249.505,-218.491,-318.538,-6005.163,-141.344,0
1488767249.505,-401.828,-267.622,-6255.852,-393.249,0
1488767249.519,-437.293,-246.213,-6068.040,-988.091,0
1488767249.519,-242.873,-332.859,-5912.264,-283.223,0
1488767249.521,-309.574,-293.487,-6286.668,-1214.910,0
1488767249.521,-488.816,-226.212,-6566.582,-1628.801,0
1488767249.535,-297.212,-329.706,-6535.161,-859.191,0
1488767249.535,-250.095,-318.664,-6734.740,-425.567,0
1488767249.549,-480.888,-241.321,-7696.478,-434.408,0
1488767249.549,-338.220,-264.721,-6965.236,155.836,0
1488767249.551,-264.130,-352.246,-6040.989,800.069,0
1488767249.551,-427.811,-288.053,-6299.423,548.381,0
1488767249.565,-467.817,-270.907,-6033.534,-2.233,0
1488767249.565,-246.256,-333.932,-5882.458,715.897,0
1488767249.579,-322.153,-306.535,-6319.600,-251.634,0
1488767249.579,-515.106,-249.874,-6581.491,-668.703,0
1488767249.581,-309.552,-340.847,-6512.600,133.844,0
1488767249.581,-248.638,-304.374,-6744.604,548.252,0
1488767249.595,-488.571,-238.796,-7723.639,525.035,0
1488767249.595,-377.333,-310.748,-6958.944,1130.100,0
1488767249.609,-251.615,-336.486,-6024.864,1798.295,0
1488767249.609,-410.703,-268.325,-6325.175,1526.318,0
1488767249.611,-453.263,-262.612,-6017.278,990.406,0
1488767249.611,-262.784,-348.809,-5893.485,1687.024,0
1488767249.625,-336.411,-316.704,-6358.691,1678.403,0
1488767249.625,-505.335,-244.055,-6573.062,1299.537,0
1488767249.639,-288.524,-327.907,-6466.433,2132.178,0
1488767249.639,-259.138,-322.837,-6758.511,2505.239,0
1488767249.641,-470.865,-233.512,-7724.187,2482.609,0
1488767249.641,-336.234,-279.344,-6898.071,3136.933,0
1488767249.655,-248.071,-338.098,-6024.047,3762.134,0
1488767249.655,-433.301,-289.186,-6366.671,3450.390,0
1488767249.669,-438.002,-246.788,-5997.040,2961.724,0
1488767249.669,-238.342,-330.936,-5881.486,3664.823,0
1488767249.671,-315.444,-298.117,-6362.396,3653.147,0
1488767249.671,-501.975,-239.873,-6558.438,3264.321,0
1488767249.685,-289.551,-332.084,-6446.561,4101.854,0
1488767249.685,-266.997,-322.142,-6777.179,4454.929,0
1488767249.699,-484.323,-235.718,-6778.110,4422.074,0
1488767249.700,-347.485,-289.988,-5882.601,5110.786,0
1488767249.701,-241.951,-335.394,-5037.235,5736.881,0
1488767249.701,-420.628,-275.988,-5405.043,5408.724,0
1488767249.715,-446.991,-260.529,-4987.029,4934.317,0
1488767249.715,-256.408,-344.052,-4919.081,5613.462,0
1488767249.729,-295.074,-272.188,-5388.936,4640.621,0
1488767249.729,-482.391,-223.134,-5523.123,4284.616,0
1488767249.731,-277.360,-323.857,-5432.728,5111.099,0
1488767249.731,-240.995,-307.119,-5796.811,5443.028,0
1488767249.745,-495.862,-243.531,-6775.718,5395.542,0
1488767249.745,-354.574,-290.377,-5890.441,6076.389,0
1488767249.759,-238.220,-329.956,-5075.927,6692.382,0
1488767249.759,-400.655,-257.606,-5421.621,6379.199,0
1488767249.761,-431.476,-244.593,-4945.473,5937.648,0
1488767249.761,-241.880,-332.301,-4888.382,6616.363,0
1488767249.775,-315.073,-292.941,-5447.022,6559.741,0
1488767249.775,-486.585,-226.384,-5541.735,6223.969,0
1488767249.789,-272.728,-320.685,-5387.211,7101.901,0
1488767249.789,-277.512,-332.006,-5834.986,7369.119,0
1488767249.791,-473.453,-231.015,-5863.858,7321.114,0
1488767249.791,-333.118,-278.434,-5791.777,8105.485,0
1488767249.805,-235.015,-330.710,-4999.414,8708.867,0
1488767249.805,-411.774,-265.417,-5497.318,8309.666,0
1488767249.819,-440.396,-259.312,-4928.735,7887.144,0
1488767249.819,-229.542,-328.765,-4793.001,8637.616,0
1488767249.821,-314.247,-292.326,-5469.935,8510.613,0
1488767249.821,-490.710,-229.834,-5597.693,8138.643,0
1488767249.835,-257.230,-307.167,-5328.228,9096.997,0
1488767249.835,-218.835,-285.347,-5797.750,9385.211,0
1488767249.849,-444.582,-205.756,-6776.440,9329.225,0
1488767249.849,-343.117,-281.833,-6772.339,10072.244,0
1488767249.851,-219.175,-310.081,-6061.551,10633.347,0
1488767249.851,-382.294,-232.962,-6475.606,10267.465,0
1488767249.865,-416.301,-239.010,-5840.629,9915.401,0
1488767249.865,-242.203,-325.932,-4906.543,10536.821,0
1488767249.879,-318.441,-288.472,-5549.682,10413.712,0
1488767249.879,-534.578,-265.989,-5568.991,10096.863,0
1488767249.894,-332.827,-370.523,-5403.484,10990.548,0
1488767249.894,-319.354,-364.036,-5916.845,11241.685,0
1488767249.896,-552.817,-294.166,-5921.748,11176.288,0
1488767249.896,-429.731,-370.680,-5792.271,12000.444,0
1488767249.909,-310.326,-396.489,-5102.381,12561.581,0
1488767249.909,-499.056,-338.986,-5600.737,12145.543,0
1488767249.911,-538.007,-349.125,-4914.498,11798.376,0
1488767249.911,-334.543,-419.331,-4884.251,12502.967,0
1488767249.925,-399.722,-364.558,-5592.240,12348.857,0
1488767249.925,-559.779,-294.736,-5594.047,12051.550,0
1488767249.939,-344.606,-389.202,-5377.587,12985.491,0
1488767249.939,-326.925,-374.042,-5929.147,13209.868,0
1488767249.941,-543.076,-280.535,-5953.774,13137.303,0
1488767249.941,-405.764,-344.263,-5749.615,13995.525,0
1488767249.955,-260.688,-351.440,-5036.508,14579.711,0
1488767249.955,-445.574,-280.227,-5616.267,14112.052,0
1488767249.969,-456.292,-272.757,-4838.407,13815.687,0
1488767249.969,-258.008,-353.991,-4821.767,14511.834,0
1488767249.971,-324.077,-284.801,-5575.880,14346.029,0
1488767249.971,-516.794,-242.968,-6541.084,14026.186,0
1488767249.985,-301.834,-353.501,-6274.566,14989.058,0
1488767249.985,-263.364,-319.208,-6867.236,15206.322,0
1488767249.999,-506.397,-243.481,-6917.788,15098.138,0
1488767249.999,-372.096,-325.972,-6659.583,15992.552,0
1488767250.001,-258.038,-351.575,-6040.194,16524.252,0
1488767250.001,-409.257,-250.809,-6576.253,16089.997,0
1488767250.015,-449.757,-280.665,-5777.854,15794.597,0
1488767250.015,-236.124,-342.743,-5772.653,16502.902,0
1488767250.029,-324.618,-292.410,-6570.007,16293.987,0
1488767250.029,-502.199,-235.401,-7487.479,16002.529,0
1488767250.031,-279.980,-337.219,-7244.994,16973.518,0
1488767250.031,-270.456,-318.308,-7874.086,17153.592,0
1488767250.045,-504.309,-241.138,-7893.922,17052.689,0
1488767250.045,-357.347,-315.891,-7627.815,17966.607,0
1488767250.059,-225.914,-320.494,-6997.035,18510.803,0
1488767250.059,-420.677,-255.310,-7557.013,18034.406,0
1488767250.061,-450.286,-278.950,-6734.443,17766.049,0
1488767250.061,-239.440,-335.456,-5780.744,18453.229,0
1488767250.075,-318.075,-280.003,-6574.699,18245.873,0
1488767250.075,-498.888,-238.147,-7487.593,17956.861,0
1488767250.089,-280.917,-337.393,-7208.741,17969.115,0
1488767250.089,-253.561,-300.639,-7842.265,18161.205,0
1488767250.091,-501.180,-222.556,-7918.955,18032.797,0
1488767250.091,-356.710,-314.288,-7547.353,18983.803,0
1488767250.105,-214.880,-299.405,-7016.256,19507.383,0
1488767250.105,-405.577,-210.143,-7741.340,18940.059,0
1488767250.119,-466.384,-301.456,-6808.005,18662.027,0
1488767250.119,-236.539,-345.314,-6620.103,19507.713,0
1488767250.121,-293.670,-236.201,-7548.780,19280.211,0
1488767250.121,-519.302,-231.887,-7811.748,18756.090,0
1488767250.135,-284.068,-364.582,-7143.242,18927.615,0
1488767250.135,-242.258,-287.811,-7771.194,19195.738,0
1488767250.149,-494.858,-191.047,-8148.318,18920.197,0
1488767250.149,-381.963,-365.270,-7637.098,19846.670,0
1488767250.151,-218.150,-328.487,-6846.070,20555.787,0
1488767250.151,-398.716,-202.282,-7682.098,19986.996,0
1488767250.165,-454.744,-297.862,-6927.852,19573.094,0
1488767250.165,-230.116,-355.535,-6580.765,20487.494,0
1488767250.179,-304.764,-244.358,-7522.457,20279.092,0
1488767250.179,-527.992,-240.952,-7783.797,19758.869,0
1488767250.181,-244.741,-327.460,2733.182,1338.390,0
1488767250.194,-185.170,-237.932,2076.860,1582.956,0
1488767250.194,-415.080,-113.628,1657.737,1293.192,0
1488767250.196,-253.032,-244.876,2245.086,2272.524,0
1488767250.196,-71.335,-192.193,3028.017,2975.096,0
1488767250.210,-256.969,-59.006,2129.772,2361.502,0
1488767250.210,-292.887,-140.435,2924.458,1965.592,0
1488767250.224,-45.445,-181.305,3309.037,2922.182,0
1488767250.224,-113.104,-66.297,3308.873,2681.456,0
1488767250.226,-312.908,-52.693,3048.164,2162.316,0
1488767250.226,-79.985,-189.768,3794.560,2385.725,0
1488767250.240,-56.927,-129.700,3110.076,2617.694,0
1488767250.240,-314.741,-28.463,2656.946,2294.829,0
1488767250.254,-212.520,-216.763,3280.034,2303.496,0
1488767250.254,-88.361,-216.024,4026.898,2986.138,0
