timestamps,,,,,Marker
1488767477.583,-24.588,37.332,-25121.930,22167.508,0
1488767477.583,-177.329,88.563,-26075.631,21904.844,0
1488767477.597,-162.308,47.256,-25945.184,22586.738,0
1488767477.597,-31.612,25.968,-25496.484,23251.447,0
1488767477.597,-95.672,81.522,-26391.801,22802.158,0
1488767477.597,-184.136,96.903,-26987.721,22770.039,0
1488767477.613,-56.805,16.779,-26453.350,23035.502,0
1488767477.613,-54.930,55.646,-26464.305,22650.645,0
1488767477.627,-196.866,118.400,-27292.760,22465.363,0
1488767477.627,-90.655,35.112,-27218.098,22481.812,0
1488767477.627,-22.898,37.706,-27102.234,23129.381,0
1488767477.627,-167.022,101.129,-28036.709,22875.473,0
1488767477.643,-146.496,57.817,-27889.107,23578.545,0
1488767477.643,-27.759,25.040,-27475.521,24225.330,0
1488767477.672,-114.159,76.664,-28387.357,23749.367,0
1488767477.672,-199.080,86.996,-28941.857,23740.078,0
1488767477.672,-61.174,16.338,-28410.572,24024.354,0
1488767477.672,-58.505,56.932,-28439.896,23620.721,0
1488767477.674,-200.977,114.645,-29255.588,23442.109,0
1488767477.674,-92.716,34.241,-29167.209,23466.516,0
1488767477.687,-30.190,43.028,-29062.631,24124.385,0
1488767477.687,-177.370,84.116,-30019.627,23848.582,0
1488767477.687,-133.204,58.135,-29813.188,24575.129,0
1488767477.687,-25.934,27.041,-29424.066,25226.592,0
1488767477.703,-120.303,69.689,-30361.850,24734.832,0
1488767477.703,-183.343,100.456,-30859.123,23771.355,0
1488767477.717,-42.889,33.351,-30347.227,24049.637,0
1488767477.717,-68.575,46.876,-30416.840,23611.059,0
1488767477.717,-218.444,94.801,-31216.465,23435.381,0
1488767477.717,-91.024,34.136,-31118.779,23468.709,0
1488767477.733,-27.305,42.493,-31015.891,24124.771,0
1488767477.733,-175.476,97.729,-31967.365,23856.209,0
1488767477.747,-142.133,68.251,-31776.229,24569.465,0
1488767477.747,-44.007,19.356,-31395.891,25204.760,0
1488767477.747,-136.521,54.647,-32332.877,24718.709,0
1488767477.747,-187.945,87.478,-32817.777,23771.156,0
1488767477.762,-48.793,25.026,-32301.393,24061.641,0
1488767477.762,-69.104,40.671,-32383.281,23615.643,0
1488767477.777,-225.765,79.654,-33169.750,23436.799,0
1488767477.777,-94.829,20.085,-33060.957,23487.873,0
1488767477.777,-46.167,12.545,-32997.652,24114.500,0
1488767477.777,-185.381,75.400,-33940.875,23852.729,0
1488767477.793,-161.971,30.200,-33729.812,24579.641,0
