timestamps,,,,,Marker
1488767829.135,-1.565,410.478,-866.703,-8106.816,0
1488767829.135,132.247,377.107,-321.790,-7938.691,0
1488767829.149,185.093,360.928,430.982,-7366.264,0
1488767829.149,35.415,393.381,-266.647,-7744.730,0
1488767829.151,64.670,391.829,210.083,-7535.997,0
1488767829.151,207.772,369.435,743.391,-7325.125,0
1488767829.165,102.879,384.811,159.989,-8137.644,0
1488767829.165,14.890,413.981,-228.231,-8987.356,0
1488767829.179,164.956,347.063,517.466,-8529.942,0
1488767829.179,158.418,365.895,-409.506,-8608.499,0
1488767829.181,7.427,415.488,-848.376,-9074.898,0
1488767829.181,134.608,371.623,-313.718,-8924.561,0
1488767829.195,185.398,355.743,425.887,-8352.570,0
1488767829.195,50.582,403.735,-264.678,-8720.229,0
1488767829.209,74.845,400.134,235.165,-8502.860,0
1488767829.209,188.442,357.634,727.566,-8318.003,0
1488767829.211,107.081,386.313,149.366,-9118.532,0
1488767829.211,10.857,406.514,-230.974,-9962.975,0
1488767829.225,178.126,364.171,525.886,-9482.325,0
1488767829.225,159.550,364.573,-430.391,-9596.669,0
1488767829.239,3.143,413.343,-870.177,-10062.979,0
1488767829.239,129.273,369.998,-324.517,-9905.538,0
1488767829.241,183.766,359.395,395.233,-9339.009,0
1488767829.241,38.815,400.596,-301.844,-9717.472,0
1488767829.255,65.837,390.820,226.094,-9492.556,0
1488767829.255,187.300,357.441,709.018,-9309.306,0
1488767829.269,105.942,385.683,123.091,-10107.329,0
1488767829.269,5.092,397.978,-222.158,-10944.700,0
1488767829.271,173.236,363.806,528.300,-10455.531,0
1488767829.271,158.426,369.568,-444.620,-10569.325,0
1488767829.285,-1.219,413.955,-871.933,-11045.829,0
1488767829.285,138.700,378.190,-305.314,-10868.537,0
1488767829.299,191.285,364.225,400.590,-10311.560,0
1488767829.299,31.621,399.087,-320.968,-10707.425,0
1488767829.301,67.081,386.008,244.058,-10462.998,0
1488767829.301,181.613,343.074,702.856,-10293.410,0
1488767829.315,96.186,379.069,99.016,-11099.471,0
1488767829.315,20.461,410.867,-203.026,-11910.270,0
1488767829.329,171.218,355.891,518.963,-11443.761,0
1488767829.329,144.710,354.219,506.749,-11574.047,0
1488767829.331,-7.358,402.888,102.915,-12038.606,0
1488767829.331,133.683,371.851,680.832,-11850.940,0
1488767829.345,196.089,366.963,1385.693,-11291.703,0
1488767829.345,37.741,396.540,655.122,-11694.296,0
1488767829.359,61.600,383.454,1229.965,-11443.175,0
1488767829.359,182.868,342.382,1677.812,-11272.395,0
1488767829.361,102.408,380.329,1060.953,-12087.535,0
1488767829.361,10.376,401.970,779.208,-12897.530,0
1488767829.375,157.068,349.941,1494.402,-12432.651,0
1488767829.375,151.066,364.823,1484.690,-12554.714,0
1488767829.389,-2.782,406.103,1087.553,-13016.600,0
1488767829.389,117.536,359.975,1663.436,-12834.416,0
1488767829.391,188.906,366.506,2350.993,-12279.974,0
1488767829.391,34.796,401.682,1619.977,-12677.076,0
1488767829.405,70.735,395.040,2236.763,-12410.191,0
1488767829.405,186.969,356.901,2664.190,-12249.636,0
1488767829.419,93.445,374.603,2020.763,-13085.649,0
1488767829.419,17.854,406.626,1778.534,-13869.005,0
1488767829.421,161.999,351.336,2491.061,-13403.464,0
1488767829.421,171.041,375.935,2467.272,-13520.250,0
1488767829.435,4.043,410.950,2079.354,-13986.705,0
1488767829.435,125.681,365.338,2664.224,-13802.338,0
1488767829.449,188.472,361.822,3326.888,-13258.483,0
1488767829.449,38.588,396.710,2596.336,-13656.970,0
1488767829.451,70.765,387.925,3245.364,-13376.143,0
1488767829.451,178.756,344.112,3645.019,-13227.135,0
1488767829.465,89.859,374.725,2998.420,-14054.502,0
1488767829.465,14.604,409.904,2777.796,-14841.313,0
1488767829.479,169.169,351.031,3481.781,-14376.349,0
1488767829.479,152.092,368.640,3424.396,-14515.630,0
1488767829.481,-3.596,413.809,3052.878,-14976.149,0
1488767829.481,119.172,369.420,3651.216,-14789.800,0
1488767829.495,180.804,361.817,4290.190,-14247.562,0
1488767829.495,35.408,400.755,3557.245,-14650.596,0
1488767829.509,72.404,390.859,4228.596,-14358.758,0
1488767829.509,190.961,353.310,4623.505,-14203.774,0
1488767829.511,98.470,384.881,3957.048,-15047.129,0
1488767829.511,17.381,409.693,3753.021,-15827.377,0
1488767829.525,170.996,358.370,4448.356,-15360.486,0
1488767829.525,153.011,364.532,4375.466,-15516.100,0
1488767829.539,-9.765,403.339,4017.954,-15969.069,0
1488767829.539,117.293,363.546,4630.974,-15763.989,0
1488767829.541,189.583,365.093,5262.835,-15228.128,0
1488767829.541,27.327,393.649,4516.067,-15640.298,0
1488767829.555,62.249,381.599,5218.359,-15341.183,0
1488767829.555,191.513,352.843,5600.118,-15183.952,0
1488767829.569,93.026,380.871,4916.599,-16035.471,0
